id,name,type,is_fast_move,pve_power,pve_energy_delta,duration_ms,damage_window_start_ms,damage_window_end_ms,pvp_power,pvp_energy_delta
54,DRAINING_KISS,FAIRY,False,60.0,-50,2500,900,1200,60.0,-55
55,DAZZLING_GLEAM,FAIRY,False,100.0,-50,3500,2100,3300,90.0,-55
56,MOONBLAST,FAIRY,False,130.0,-100,4000,2300,3800,110.0,-60
57,PLAY_ROUGH,FAIRY,False,90.0,-50,3000,1400,2800,90.0,-60
58,CROSS_POISON,POISON,False,40.0,-33,1500,900,1300,50.0,-35
59,SLUDGE_BOMB,POISON,False,85.0,-50,2500,1300,2300,80.0,-50
60,SLUDGE_WAVE,POISON,False,105.0,-100,3000,1800,2800,110.0,-65
61,GUNK_SHOT,POISON,False,130.0,-100,3000,1600,2600,130.0,-75
62,BONE_CLUB,GROUND,False,40.0,-33,1500,900,1300,55.0,-35
63,BULLDOZE,GROUND,False,80.0,-50,3500,2600,3100,45.0,-45
64,MUD_BOMB,GROUND,False,60.0,-33,2500,1900,2300,65.0,-45
65,SIGNAL_BEAM,BUG,False,75.0,-50,3000,1900,2700,75.0,-55
66,X_SCISSOR,BUG,False,45.0,-33,1500,1100,1300,65.0,-40
67,FLAME_CHARGE,FIRE,False,70.0,-33,4000,3100,3650,65.0,-50
68,FLAME_BURST,FIRE,False,70.0,-50,2500,900,2000,70.0,-55
69,FIRE_BLAST,FIRE,False,140.0,-100,4000,2900,3700,140.0,-80
70,BRINE,WATER,False,65.0,-50,2500,1700,2300,60.0,-50
71,WATER_PULSE,WATER,False,65.0,-50,3000,2000,2700,80.0,-50
72,SCALD,WATER,False,75.0,-50,3500,1100,3200,85.0,-50
73,HYDRO_PUMP,WATER,False,135.0,-100,3500,1100,3200,130.0,-75
74,PSYCHIC,PSYCHIC,False,95.0,-50,3000,1500,2800,75.0,-55
75,PSYSTRIKE,PSYCHIC,False,95.0,-50,2500,1200,2200,90.0,-45
76,ICY_WIND,ICE,False,65.0,-33,3500,2200,3000,60.0,-45
77,GIGA_DRAIN,GRASS,False,50.0,-100,4000,1300,2300,50.0,-80
78,FIRE_PUNCH,FIRE,False,50.0,-33,2000,1300,1700,60.0,-40
79,SOLAR_BEAM,GRASS,False,180.0,-100,5000,2800,4800,150.0,-80
80,LEAF_BLADE,GRASS,False,70.0,-33,2500,1350,2300,70.0,-35
81,POWER_WHIP,GRASS,False,90.0,-50,2500,1150,2250,90.0,-50
82,AIR_CUTTER,FLYING,False,55.0,-50,2500,1600,2300,45.0,-35
83,HURRICANE,FLYING,False,105.0,-100,2500,1000,2200,110.0,-65
84,BRICK_BREAK,FIGHTING,False,40.0,-33,1500,700,1300,50.0,-40
85,SWIFT,NORMAL,False,65.0,-50,3000,2200,2800,55.0,-35
86,HORN_ATTACK,NORMAL,False,45.0,-33,2000,950,1800,40.0,-35
87,STOMP,NORMAL,False,50.0,-50,1500,900,1300,55.0,-40
88,HYPER_FANG,NORMAL,False,80.0,-50,2500,1500,2000,80.0,-50
89,BODY_SLAM,NORMAL,False,50.0,-33,2000,1300,1800,55.0,-35
90,REST,NORMAL,False,50.0,-33,2000,1600,1800,50.0,-35
91,STRUGGLE,NORMAL,False,35.0,0,2000,1000,1800,35.0,-100
92,SCALD_BLASTOISE,WATER,False,50.0,-100,4500,2300,4400,50.0,-80
93,HYDRO_PUMP_BLASTOISE,WATER,False,90.0,-100,4500,2200,4300,90.0,-80
94,WRAP_GREEN,NORMAL,False,25.0,-33,3000,2150,2800,25.0,-45
95,WRAP_PINK,NORMAL,False,25.0,-33,3000,2150,2800,25.0,-45
96,FURY_CUTTER_FAST,BUG,True,3.0,4,0,0,0,0.0,0
97,BUG_BITE_FAST,BUG,True,4.0,3,0,0,0,0.0,0
98,BITE_FAST,DARK,True,4.0,2,0,0,0,0.0,0
99,SUCKER_PUNCH_FAST,DARK,True,8.0,7,0,0,0,0.0,0
100,DRAGON_BREATH_FAST,DRAGON,True,3.0,4,0,0,0,0.0,0
101,THUNDER_SHOCK_FAST,ELECTRIC,True,4.0,9,0,0,0,0.0,0
102,SPARK_FAST,ELECTRIC,True,5.0,7,0,0,0,0.0,0
103,LOW_KICK_FAST,FIGHTING,True,5.0,8,0,0,0,0.0,0
104,KARATE_CHOP_FAST,FIGHTING,True,5.0,9,0,0,0,0.0,0
105,EMBER_FAST,FIRE,True,4.0,9,0,0,0,0.0,0
106,WING_ATTACK_FAST,FLYING,True,5.0,8,0,0,0,0.0,0
107,PECK_FAST,FLYING,True,6.0,8,0,0,0,0.0,0
108,LICK_FAST,GHOST,True,3.0,3,0,0,0,0.0,0
109,SHADOW_CLAW_FAST,GHOST,True,6.0,8,0,0,0,0.0,0
110,VINE_WHIP_FAST,GRASS,True,5.0,8,0,0,0,0.0,0
111,RAZOR_LEAF_FAST,GRASS,True,9.0,4,0,0,0,0.0,0
112,MUD_SHOT_FAST,GROUND,True,3.0,9,0,0,0,0.0,0
113,ICE_SHARD_FAST,ICE,True,9.0,10,0,0,0,0.0,0
114,FROST_BREATH_FAST,ICE,True,7.0,5,0,0,0,0.0,0
115,QUICK_ATTACK_FAST,NORMAL,True,5.0,8,0,0,0,0.0,0
116,SCRATCH_FAST,NORMAL,True,4.0,2,0,0,0,0.0,0
117,TACKLE_FAST,NORMAL,True,3.0,3,0,0,0,0.0,0
118,POUND_FAST,NORMAL,True,4.0,4,0,0,0,0.0,0
119,CUT_FAST,NORMAL,True,3.0,2,0,0,0,0.0,0
120,POISON_JAB_FAST,POISON,True,7.0,7,0,0,0,0.0,0
121,ACID_FAST,POISON,True,6.0,8,0,0,0,0.0,0
122,PSYCHO_CUT_FAST,PSYCHIC,True,4.0,9,0,0,0,0.0,0
123,ROCK_THROW_FAST,ROCK,True,8.0,5,0,0,0,0.0,0
124,METAL_CLAW_FAST,STEEL,True,5.0,7,0,0,0,0.0,0
125,BULLET_PUNCH_FAST,STEEL,True,7.0,7,0,0,0,0.0,0
126,WATER_GUN_FAST,WATER,True,3.0,3,0,0,0,0.0,0
127,SPLASH_FAST,WATER,True,0,12,0,0,0,0.0,0
128,WATER_GUN_FAST_BLASTOISE,WATER,True,6.0,4,0,0,0,0.0,0
129,MUD_SLAP_FAST,GROUND,True,11.0,10,0,0,0,0.0,0
130,ZEN_HEADBUTT_FAST,PSYCHIC,True,8.0,6,0,0,0,0.0,0
131,CONFUSION_FAST,PSYCHIC,True,16.0,14,0,0,0,0.0,0
132,POISON_STING_FAST,POISON,True,4.0,9,0,0,0,0.0,0
133,BUBBLE_FAST,WATER,True,8.0,11,0,0,0,0.0,0
134,FEINT_ATTACK_FAST,DARK,True,6.0,6,0,0,0,0.0,0
135,STEEL_WING_FAST,STEEL,True,7.0,5,0,0,0,0.0,0
136,FIRE_FANG_FAST,FIRE,True,8.0,6,0,0,0,0.0,0
137,ROCK_SMASH_FAST,FIGHTING,True,9.0,7,0,0,0,0.0,0
138,TRANSFORM_FAST,NORMAL,True,0,0,0,0,0,0.0,0
139,COUNTER_FAST,FIGHTING,True,8.0,6,0,0,0,0.0,0
140,POWDER_SNOW_FAST,ICE,True,6.0,8,0,0,0,0.0,0
141,CLOSE_COMBAT,FIGHTING,False,105.0,-100,2500,1200,2500,100.0,-45
142,DYNAMIC_PUNCH,FIGHTING,False,85.0,-50,2500,1000,2500,90.0,-45
143,FOCUS_BLAST,FIGHTING,False,140.0,-100,3500,3000,3500,150.0,-75
144,AURORA_BEAM,ICE,False,80.0,-50,3500,3300,3500,80.0,-60
145,CHARGE_BEAM_FAST,ELECTRIC,True,5.0,11,0,0,0,0.0,0
146,VOLT_SWITCH_FAST,ELECTRIC,True,14.0,16,0,0,0,0.0,0
147,WILD_CHARGE,ELECTRIC,False,90.0,-50,2500,1600,2000,100.0,-45
148,ZAP_CANNON,ELECTRIC,False,140.0,-100,3500,2800,3300,150.0,-80
149,DRAGON_TAIL_FAST,DRAGON,True,9.0,12,0,0,0,0.0,0
150,AVALANCHE,ICE,False,85.0,-50,2500,1500,1900,90.0,-45
151,AIR_SLASH_FAST,FLYING,True,9.0,9,0,0,0,0.0,0
152,BRAVE_BIRD,FLYING,False,130.0,-100,2000,1000,1600,130.0,-55
153,SKY_ATTACK,FLYING,False,80.0,-50,2000,1500,1700,75.0,-50
154,SAND_TOMB,GROUND,False,60.0,-33,4000,1700,4000,40.0,-40
155,ROCK_BLAST,ROCK,False,50.0,-33,2000,1500,1900,50.0,-40
156,INFESTATION_FAST,BUG,True,6.0,12,0,0,0,0.0,0
157,STRUGGLE_BUG_FAST,BUG,True,9.0,8,0,0,0,0.0,0
158,SILVER_WIND,BUG,False,65.0,-33,3500,1500,3300,60.0,-45
159,ASTONISH_FAST,GHOST,True,12.0,10,0,0,0,0.0,0
160,HEX_FAST,GHOST,True,7.0,13,0,0,0,0.0,0
161,NIGHT_SHADE,GHOST,False,60.0,-50,2500,2000,2400,70.0,-45
162,IRON_TAIL_FAST,STEEL,True,10.0,7,0,0,0,0.0,0
163,GYRO_BALL,STEEL,False,85.0,-50,3500,3200,3500,80.0,-50
164,HEAVY_SLAM,STEEL,False,70.0,-50,2000,1400,1800,70.0,-50
165,FIRE_SPIN_FAST,FIRE,True,11.0,10,0,0,0,0.0,0
166,OVERHEAT,FIRE,False,160.0,-100,4000,2600,3800,130.0,-55
167,BULLET_SEED_FAST,GRASS,True,5.0,13,0,0,0,0.0,0
168,GRASS_KNOT,GRASS,False,90.0,-50,2500,1600,2500,90.0,-50
169,ENERGY_BALL,GRASS,False,90.0,-50,4000,3100,3900,90.0,-55
170,EXTRASENSORY_FAST,PSYCHIC,True,8.0,10,0,0,0,0.0,0
171,FUTURESIGHT,PSYCHIC,False,115.0,-100,2500,1200,2500,110.0,-65
172,MIRROR_COAT,PSYCHIC,False,60.0,-50,2500,2200,2400,60.0,-55
173,OUTRAGE,DRAGON,False,110.0,-50,4000,2600,3800,110.0,-60
174,SNARL_FAST,DARK,True,5.0,13,0,0,0,0.0,0
175,CRUNCH,DARK,False,65.0,-33,3000,1100,2800,70.0,-45
176,FOUL_PLAY,DARK,False,70.0,-50,2000,1700,1900,65.0,-40
177,HIDDEN_POWER_FAST,NORMAL,True,9.0,8,0,0,0,0.0,0
178,TAKE_DOWN_FAST,NORMAL,True,5.0,8,0,0,0,0.0,0
179,WATERFALL_FAST,WATER,True,11.0,10,0,0,0,0.0,0
180,SURF,WATER,False,60.0,-50,1500,1200,1400,75.0,-45
181,DRACO_METEOR,DRAGON,False,150.0,-100,3500,2900,3400,150.0,-65
182,DOOM_DESIRE,STEEL,False,65.0,-33,1500,1200,1400,80.0,-40
183,YAWN_FAST,NORMAL,True,0,12,0,0,0,0.0,0
184,PSYCHO_BOOST,PSYCHIC,False,70.0,-50,4000,3500,4000,70.0,-35
185,ORIGIN_PULSE,WATER,False,120.0,-100,1500,1200,1400,130.0,-60
186,PRECIPICE_BLADES,GROUND,False,120.0,-100,1500,1200,1400,130.0,-60
187,PRESENT_FAST,NORMAL,True,3.0,12,0,0,0,0.0,0
188,WEATHER_BALL_FIRE,FIRE,False,55.0,-33,1500,1250,1500,60.0,-35
189,WEATHER_BALL_ICE,ICE,False,55.0,-33,1500,1250,1500,60.0,-35
190,WEATHER_BALL_ROCK,ROCK,False,55.0,-33,1500,1250,1500,60.0,-35
191,WEATHER_BALL_WATER,WATER,False,55.0,-33,1500,1250,1500,60.0,-35
192,FRENZY_PLANT,GRASS,False,100.0,-50,2500,2045,2450,100.0,-45
193,SMACK_DOWN_FAST,ROCK,True,11.0,8,0,0,0,0.0,0
194,BLAST_BURN,FIRE,False,120.0,-50,3500,2950,3400,110.0,-50
195,HYDRO_CANNON,WATER,False,90.0,-50,2000,600,1700,80.0,-40
196,LAST_RESORT,NORMAL,False,90.0,-50,3000,2800,2950,90.0,-55
197,METEOR_MASH,STEEL,False,100.0,-50,2500,2200,2400,100.0,-45
198,SKULL_BASH,NORMAL,False,130.0,-100,3000,1700,2200,130.0,-75
199,ACID_SPRAY,POISON,False,20.0,-50,3000,2100,2800,20.0,-45
200,EARTH_POWER,GROUND,False,100.0,-50,3500,2600,3300,90.0,-55
201,CRABHAMMER,WATER,False,85.0,-50,2000,1600,1850,85.0,-50
202,LUNGE,BUG,False,55.0,-33,3000,2500,2800,60.0,-45
203,OCTAZOOKA,WATER,False,55.0,-50,2500,1500,1800,50.0,-50
204,MIRROR_SHOT,STEEL,False,50.0,-33,2500,1900,2300,35.0,-35
205,SUPER_POWER,FIGHTING,False,85.0,-50,3000,2100,2800,85.0,-40
206,FELL_STINGER,BUG,False,45.0,-33,2000,1600,1800,20.0,-35
207,LEAF_TORNADO,GRASS,False,45.0,-33,3000,1900,2500,45.0,-40
208,DRAIN_PUNCH,FIGHTING,False,50.0,-33,2500,1100,1600,40.0,-40
209,SHADOW_BONE,GHOST,False,85.0,-50,3000,2450,2900,80.0,-45
210,MUDDY_WATER,WATER,False,45.0,-33,2000,1000,1700,35.0,-35
211,BLAZE_KICK,FIRE,False,40.0,-33,1000,250,600,60.0,-40
212,RAZOR_SHELL,WATER,False,55.0,-33,1500,850,1200,35.0,-35
213,POWER_UP_PUNCH,FIGHTING,False,50.0,-33,2000,1700,1900,20.0,-35
214,CHARM_FAST,FAIRY,True,13.0,8,0,0,0,0.0,0
215,GIGA_IMPACT,NORMAL,False,200.0,-100,4500,800,2200,150.0,-80
216,FRUSTRATION,NORMAL,False,10.0,-33,2000,1000,1800,10.0,-70
217,RETURN,NORMAL,False,25.0,-33,500,0,150,130.0,-70
218,SYNCHRONOISE,PSYCHIC,False,80.0,-50,2500,750,1500,80.0,-50
219,LOCK_ON_FAST,NORMAL,True,1.0,5,0,0,0,0.0,0
220,THUNDER_FANG_FAST,ELECTRIC,True,8.0,6,0,0,0,0.0,0
221,ICE_FANG_FAST,ICE,True,8.0,6,0,0,0,0.0,0
222,SACRED_SWORD,FIGHTING,False,50.0,-33,1000,300,800,60.0,-35
223,FLYING_PRESS,FIGHTING,False,115.0,-50,2500,1200,2200,90.0,-40
224,AURA_SPHERE,FIGHTING,False,100.0,-50,2000,1200,1800,80.0,-40
225,PAYBACK,DARK,False,95.0,-100,2000,900,1800,110.0,-60
226,ROCK_WRECKER,ROCK,False,110.0,-50,3500,1900,2600,110.0,-50
227,AEROBLAST,FLYING,False,180.0,-100,3500,3300,3500,170.0,-75
228,TECHNO_BLAST_NORMAL,NORMAL,False,120.0,-100,2000,1600,2000,120.0,-55
229,TECHNO_BLAST_BURN,FIRE,False,120.0,-100,2000,1400,2000,120.0,-55
230,TECHNO_BLAST_CHILL,ICE,False,120.0,-100,2000,1400,2000,120.0,-55
231,TECHNO_BLAST_WATER,WATER,False,120.0,-100,2000,1500,2000,120.0,-55
232,TECHNO_BLAST_SHOCK,ELECTRIC,False,120.0,-100,2000,1600,2000,120.0,-55
233,FLY,FLYING,False,90.0,-50,2000,1400,1700,80.0,-45
234,V_CREATE,FIRE,False,105.0,-33,3000,1900,2700,95.0,-40
235,LEAF_STORM,GRASS,False,130.0,-100,2500,1100,1250,130.0,-55
236,TRI_ATTACK,NORMAL,False,75.0,-50,2500,1300,2400,65.0,-50
237,GUST_FAST,FLYING,True,16.0,12,0,0,0,0.0,0
238,INCINERATE_FAST,FIRE,True,20.0,20,0,0,0,0.0,0
239,FEATHER_DANCE,FLYING,False,35.0,-50,3000,1900,2700,35.0,-50
240,FAIRY_WIND_FAST,FAIRY,True,4.0,9,0,0,0,0.0,0
241,WEATHER_BALL_NORMAL,NORMAL,False,55.0,-33,1500,1250,1500,60.0,-35
242,PSYCHIC_FANGS,PSYCHIC,False,25.0,-33,1000,200,900,40.0,-35
243,DOUBLE_KICK_FAST,FIGHTING,True,8.0,12,0,0,0,0.0,0
244,MAGICAL_LEAF_FAST,GRASS,True,10.0,10,0,0,0,0.0,0
245,SACRED_FIRE,FIRE,False,120.0,-100,2500,1100,2300,130.0,-65
246,ICICLE_SPEAR,ICE,False,55.0,-33,2000,1000,1600,70.0,-40
247,AEROBLAST_PLUS,FLYING,False,200.0,-100,3500,3300,3500,170.0,-75
248,AEROBLAST_PLUS_PLUS,FLYING,False,225.0,-100,3500,3300,3500,170.0,-75
249,SACRED_FIRE_PLUS,FIRE,False,135.0,-100,2500,1100,2300,130.0,-65
250,SACRED_FIRE_PLUS_PLUS,FIRE,False,155.0,-100,2500,1100,2300,130.0,-65
251,ACROBATICS,FLYING,False,100.0,-100,2000,600,1700,110.0,-55
252,LUSTER_PURGE,PSYCHIC,False,100.0,-100,1500,500,1500,120.0,-60
253,MIST_BALL,PSYCHIC,False,105.0,-100,2000,1200,1700,120.0,-60
254,BRUTAL_SWING,DARK,False,65.0,-33,2000,1300,1700,55.0,-35
255,ROLLOUT_FAST,ROCK,True,7.0,13,0,0,0,0.0,0
256,SEED_FLARE,GRASS,False,115.0,-100,2500,2300,2400,130.0,-75
257,OBSTRUCT,DARK,False,20.0,-33,1500,300,1400,15.0,-40
258,SHADOW_FORCE,GHOST,False,140.0,-100,2000,1800,2000,120.0,-90
259,METEOR_BEAM,ROCK,False,140.0,-100,2000,1100,2000,120.0,-60
260,WATER_SHURIKEN_FAST,WATER,True,6.0,14,0,0,0,0.0,0
261,FUSION_BOLT,ELECTRIC,False,140.0,-100,2000,1250,1800,90.0,-45
262,FUSION_FLARE,FIRE,False,140.0,-100,2000,1300,1800,90.0,-45
263,POLTERGEIST,GHOST,False,140.0,-100,3500,2700,2900,150.0,-75
264,HIGH_HORSEPOWER,GROUND,False,105.0,-100,1500,900,1100,100.0,-60
265,GLACIATE,ICE,False,160.0,-100,2500,1500,2500,60.0,-40
266,BREAKING_SWIPE,DRAGON,False,45.0,-33,1000,470,900,50.0,-50
267,BOOMBURST,NORMAL,False,150.0,-100,2500,1200,2200,150.0,-70
268,DOUBLE_IRON_BASH,STEEL,False,70.0,-33,2000,1300,2000,55.0,-35
269,MYSTICAL_FIRE,FIRE,False,60.0,-33,2000,1300,2000,60.0,-45
270,LIQUIDATION,WATER,False,70.0,-33,3000,2000,2700,70.0,-45
271,DRAGON_ASCENT,FLYING,False,140.0,-50,3500,3250,3400,150.0,-70
272,LEAFAGE_FAST,GRASS,True,6.0,8,0,0,0,0.0,0
273,MAGMA_STORM,FIRE,False,75.0,-33,2500,1300,2800,65.0,-40
274,GEOMANCY_FAST,FAIRY,True,8.0,13,0,0,0,0.0,0
275,SPACIAL_REND,DRAGON,False,160.0,-100,2500,1370,2950,95.0,-55
276,OBLIVION_WING,FLYING,False,85.0,-50,2000,1500,1900,85.0,-50
277,NATURES_MADNESS,FAIRY,False,90.0,-50,2000,1300,1900,80.0,-50
278,TRIPLE_AXEL,ICE,False,60.0,-33,2000,1500,1700,60.0,-45
279,TRAILBLAZE,GRASS,False,65.0,-50,2000,1200,1900,65.0,-45
280,SCORCHING_SANDS,GROUND,False,90.0,-50,3000,1400,2300,80.0,-50
281,ROAR_OF_TIME,DRAGON,False,160.0,-100,2000,850,2300,150.0,-65
282,BLEAKWIND_STORM,FLYING,False,150.0,-100,2500,2000,2800,60.0,-45
283,SANDSEAR_STORM,GROUND,False,150.0,-100,2500,2000,2800,60.0,-45
284,WILDBOLT_STORM,ELECTRIC,False,150.0,-100,2500,2000,2800,60.0,-45
285,SPIRIT_SHACKLE,GHOST,False,70.0,-33,2500,2000,3400,50.0,-40
286,VOLT_TACKLE,ELECTRIC,False,90.0,-33,3500,2100,2600,90.0,-40
287,DARKEST_LARIAT,DARK,False,80.0,-50,2000,1200,2000,120.0,-60
288,PSYWAVE_FAST,PSYCHIC,True,3.0,4,0,0,0,0.0,0
289,METAL_SOUND_FAST,STEEL,True,5.0,8,0,0,0,0.0,0
290,SAND_ATTACK_FAST,GROUND,True,2.0,4,0,0,0,0.0,0
291,SUNSTEEL_STRIKE,STEEL,False,230.0,-100,3000,2200,3000,135.0,-65
292,MOONGEIST_BEAM,GHOST,False,230.0,-100,3000,2200,3000,135.0,-65
293,AURA_WHEEL_ELECTRIC,ELECTRIC,False,100.0,-50,2500,2100,2500,100.0,-45
294,AURA_WHEEL_DARK,DARK,False,100.0,-50,2500,2100,2500,100.0,-45
295,HIGH_JUMP_KICK,FIGHTING,False,90.0,-100,1500,450,800,110.0,-55
296,FORCE_PALM_FAST,FIGHTING,True,13.0,10,0,0,0,0.0,0
297,SPARKLING_ARIA,WATER,False,85.0,-33,3000,1700,2900,80.0,-45
298,RAGE_FIST,GHOST,False,100.0,-50,3000,2750,3000,50.0,-35
299,FLOWER_TRICK,GRASS,False,75.0,-33,3000,1800,2700,30.0,-35
300,FREEZE_SHOCK,ICE,False,160.0,-100,1500,900,1400,120.0,-60
301,ICE_BURN,ICE,False,90.0,-50,2000,1800,2200,120.0,-60
302,TORCH_SONG,FIRE,False,100.0,-50,3500,2500,3500,70.0,-45
303,BEHEMOTH_BLADE,STEEL,False,200.0,-100,3500,2500,3500,100.0,-55
304,BEHEMOTH_BASH,STEEL,False,125.0,-50,1500,900,1400,80.0,-45
305,UPPER_HAND,FIGHTING,False,50.0,-33,2000,2300,3100,70.0,-40
306,THUNDER_CAGE,ELECTRIC,False,220.0,-100,3500,1880,3200,60.0,-40
307,DYNAMAX_CANNON,DRAGON,False,215.0,-100,1500,900,1400,80.0,-45
308,CLANGING_SCALES,DRAGON,False,120.0,-100,3500,1880,3200,120.0,-45
309,CRUSH_GRIP,NORMAL,False,210.0,-100,2000,700,1700,110.0,-50
310,DRAGON_ENERGY,DRAGON,False,155.0,-50,3500,1880,3200,90.0,-45
311,AQUA_STEP,WATER,False,55.0,-33,3500,2050,3100,55.0,-40
312,CHILLING_WATER,WATER,False,65.0,-33,3500,2050,3100,60.0,-45
313,SECRET_SWORD,FIGHTING,False,120.0,-50,2000,1200,1600,70.0,-35
314,BEAK_BLAST,FLYING,False,125.0,-50,2500,1500,2500,110.0,-55
315,MIND_BLOWN,FIRE,False,130.0,-33,4000,3000,4000,90.0,-35
316,DRUM_BEATING,GRASS,False,115.0,-33,4500,3000,4000,60.0,-35
317,PYROBALL,FIRE,False,150.0,-100,2000,900,1600,75.0,-40
318,GIGATON_HAMMER,STEEL,False,300.0,-100,3000,2000,3100,130.0,-60
732,FURY_CUTTER,BUG,True,4.0,8,500,200,500,3.0,4
733,BUG_BITE,BUG,True,5.0,6,500,250,450,4.0,3
734,BITE,DARK,True,6.0,4,500,300,500,4.0,2
735,SUCKER_PUNCH,DARK,True,5.0,6,500,100,500,8.0,7
736,DRAGON_BREATH,DRAGON,True,6.0,4,500,300,500,3.0,4
737,THUNDER_SHOCK,ELECTRIC,True,4.0,7,500,200,500,4.0,9
738,SPARK,ELECTRIC,True,4.0,6,500,100,500,5.0,7
739,LOW_KICK,FIGHTING,True,5.0,5,500,200,500,5.0,8
740,KARATE_CHOP,FIGHTING,True,10.0,13,1000,800,1000,5.0,9
741,EMBER,FIRE,True,10.0,10,1000,600,800,4.0,9
742,WING_ATTACK,FLYING,True,10.0,11,1000,750,950,5.0,8
743,PECK,FLYING,True,10.0,10,1000,450,900,6.0,8
744,LICK,GHOST,True,5.0,6,500,200,500,3.0,3
745,SHADOW_CLAW,GHOST,True,6.0,4,500,50,300,6.0,8
746,VINE_WHIP,GRASS,True,6.0,5,500,250,500,5.0,8
