id,form,name,type_1,type_2,base_attack,base_defense,base_stamina
85,NORMAL,DODRIO,NORMAL,FLYING,218,140,155
86,NORMAL,SEEL,WATER,,85,121,163
87,NORMAL,DEWGONG,WATER,ICE,139,177,207
88,ALOLA,GRIMER,POISON,DARK,135,90,190
88,NORMAL,GRIMER,POISON,,135,90,190
89,ALOLA,MUK,POISON,DARK,190,172,233
89,NORMAL,MUK,POISON,,190,172,233
90,NORMAL,SHELLDER,WATER,,116,134,102
91,NORMAL,CLOYSTER,WATER,ICE,186,256,137
92,NORMAL,GASTLY,GHOST,POISON,186,67,102
93,NORMAL,HAUNTER,GHOST,POISON,223,107,128
94,MEGA,GENGAR,GHOST,POISON,349,199,155
94,NORMAL,GENGAR,GHOST,POISON,261,149,155
95,NORMAL,ONIX,ROCK,GROUND,85,232,111
96,NORMAL,DROWZEE,PSYCHIC,,89,136,155
97,NORMAL,HYPNO,PSYCHIC,,144,193,198
98,NORMAL,KRABBY,WATER,,181,124,102
99,NORMAL,KINGLER,WATER,,240,181,146
100,HISUIAN,VOLTORB,ELECTRIC,GRASS,109,111,120
100,NORMAL,VOLTORB,ELECTRIC,,109,111,120
101,HISUIAN,ELECTRODE,ELECTRIC,GRASS,176,176,155
101,NORMAL,ELECTRODE,ELECTRIC,,173,173,155
102,NORMAL,EXEGGCUTE,GRASS,PSYCHIC,107,125,155
103,ALOLA,EXEGGUTOR,GRASS,DRAGON,230,153,216
103,NORMAL,EXEGGUTOR,GRASS,PSYCHIC,233,149,216
104,NORMAL,CUBONE,GROUND,,90,144,137
105,ALOLA,MAROWAK,FIRE,GHOST,144,186,155
105,NORMAL,MAROWAK,GROUND,,144,186,155
106,NORMAL,HITMONLEE,FIGHTING,,224,181,137
107,NORMAL,HITMONCHAN,FIGHTING,,193,197,137
108,NORMAL,LICKITUNG,NORMAL,,108,137,207
109,NORMAL,KOFFING,POISON,,119,141,120
110,GALARIAN,WEEZING,POISON,FAIRY,174,197,163
110,NORMAL,WEEZING,POISON,,174,197,163
111,NORMAL,RHYHORN,GROUND,ROCK,140,127,190
112,NORMAL,RHYDON,GROUND,ROCK,222,171,233
113,NORMAL,CHANSEY,NORMAL,,60,128,487
114,NORMAL,TANGELA,GRASS,,183,169,163
115,MEGA,KANGASKHAN,NORMAL,,246,210,233
115,NORMAL,KANGASKHAN,NORMAL,,181,165,233
116,NORMAL,HORSEA,WATER,,129,103,102
117,NORMAL,SEADRA,WATER,,187,156,146
118,NORMAL,GOLDEEN,WATER,,123,110,128
119,NORMAL,SEAKING,WATER,,175,147,190
120,NORMAL,STARYU,WATER,,137,112,102
121,NORMAL,STARMIE,WATER,PSYCHIC,210,184,155
122,MIME,MR,PSYCHIC,FAIRY,192,205,120
122,MIME_GALARIAN,MR,ICE,PSYCHIC,183,169,137
123,NORMAL,SCYTHER,BUG,FLYING,218,170,172
124,NORMAL,JYNX,ICE,PSYCHIC,223,151,163
125,NORMAL,ELECTABUZZ,ELECTRIC,,198,158,163
126,NORMAL,MAGMAR,FIRE,,206,154,163
127,MEGA,PINSIR,BUG,FLYING,305,231,163
127,NORMAL,PINSIR,BUG,,238,182,163
128,NORMAL,TAUROS,NORMAL,,198,183,181
128,PALDEA_AQUA,TAUROS,FIGHTING,WATER,210,193,181
128,PALDEA_BLAZE,TAUROS,FIGHTING,FIRE,210,193,181
128,PALDEA_COMBAT,TAUROS,FIGHTING,,210,193,181
129,NORMAL,MAGIKARP,WATER,,29,85,85
130,MEGA,GYARADOS,WATER,DARK,292,247,216
130,NORMAL,GYARADOS,WATER,FLYING,237,186,216
131,NORMAL,LAPRAS,WATER,ICE,165,174,277
132,NORMAL,DITTO,NORMAL,,91,91,134
133,NORMAL,EEVEE,NORMAL,,104,114,146
134,NORMAL,VAPOREON,WATER,,205,161,277
135,NORMAL,JOLTEON,ELECTRIC,,232,182,163
136,NORMAL,FLAREON,FIRE,,246,179,163
137,NORMAL,PORYGON,NORMAL,,153,136,163
138,NORMAL,OMANYTE,ROCK,WATER,155,153,111
139,NORMAL,OMASTAR,ROCK,WATER,207,201,172
140,NORMAL,KABUTO,ROCK,WATER,148,140,102
141,NORMAL,KABUTOPS,ROCK,WATER,220,186,155
142,MEGA,AERODACTYL,ROCK,FLYING,292,210,190
142,NORMAL,AERODACTYL,ROCK,FLYING,221,159,190
143,NORMAL,SNORLAX,NORMAL,,190,169,330
144,GALARIAN,ARTICUNO,PSYCHIC,FLYING,250,197,207
144,NORMAL,ARTICUNO,ICE,FLYING,192,236,207
145,GALARIAN,ZAPDOS,FIGHTING,FLYING,252,189,207
145,NORMAL,ZAPDOS,ELECTRIC,FLYING,253,185,207
146,GALARIAN,MOLTRES,DARK,FLYING,202,231,207
146,NORMAL,MOLTRES,FIRE,FLYING,251,181,207
147,NORMAL,DRATINI,DRAGON,,119,91,121
148,NORMAL,DRAGONAIR,DRAGON,,163,135,156
149,MEGA,DRAGONITE,DRAGON,FLYING,299,255,209
149,NORMAL,DRAGONITE,DRAGON,FLYING,263,198,209
150,A,MEWTWO,PSYCHIC,,182,278,214
150,MEGA_X,MEWTWO,PSYCHIC,FIGHTING,399,215,228
150,MEGA_Y,MEWTWO,PSYCHIC,,413,223,228
150,NORMAL,MEWTWO,PSYCHIC,,300,182,214
151,NORMAL,MEW,PSYCHIC,,210,210,225
152,NORMAL,CHIKORITA,GRASS,,92,122,128
153,NORMAL,BAYLEEF,GRASS,,122,155,155
154,NORMAL,MEGANIUM,GRASS,,168,202,190
155,NORMAL,CYNDAQUIL,FIRE,,116,93,118
156,NORMAL,QUILAVA,FIRE,,158,126,151
157,HISUIAN,TYPHLOSION,FIRE,GHOST,238,172,177
157,NORMAL,TYPHLOSION,FIRE,,223,173,186
158,NORMAL,TOTODILE,WATER,,117,109,137
159,NORMAL,CROCONAW,WATER,,150,142,163
160,NORMAL,FERALIGATR,WATER,,205,188,198
161,NORMAL,SENTRET,NORMAL,,79,73,111
162,NORMAL,FURRET,NORMAL,,148,125,198
163,NORMAL,HOOTHOOT,NORMAL,FLYING,67,88,155
164,NORMAL,NOCTOWL,NORMAL,FLYING,145,156,225
165,NORMAL,LEDYBA,BUG,FLYING,72,118,120
166,NORMAL,LEDIAN,BUG,FLYING,107,179,146
167,NORMAL,SPINARAK,BUG,POISON,105,73,120
168,NORMAL,ARIADOS,BUG,POISON,161,124,172
169,NORMAL,CROBAT,POISON,FLYING,194,178,198
170,NORMAL,CHINCHOU,WATER,ELECTRIC,106,97,181
171,NORMAL,LANTURN,WATER,ELECTRIC,146,137,268
172,NORMAL,PICHU,ELECTRIC,,77,53,85
173,NORMAL,CLEFFA,FAIRY,,75,79,137
174,NORMAL,IGGLYBUFF,NORMAL,FAIRY,69,32,207
175,NORMAL,TOGEPI,FAIRY,,67,116,111
176,NORMAL,TOGETIC,FAIRY,FLYING,139,181,146
177,NORMAL,NATU,PSYCHIC,FLYING,134,89,120
178,NORMAL,XATU,PSYCHIC,FLYING,192,146,163
179,NORMAL,MAREEP,ELECTRIC,,114,79,146
180,NORMAL,FLAAFFY,ELECTRIC,,145,109,172
181,MEGA,AMPHAROS,ELECTRIC,DRAGON,294,203,207
181,NORMAL,AMPHAROS,ELECTRIC,,211,169,207
182,NORMAL,BELLOSSOM,GRASS,,169,186,181
183,NORMAL,MARILL,WATER,FAIRY,37,93,172
184,NORMAL,AZUMARILL,WATER,FAIRY,112,152,225
185,NORMAL,SUDOWOODO,ROCK,,167,176,172
186,NORMAL,POLITOED,WATER,,174,179,207
187,NORMAL,HOPPIP,GRASS,FLYING,67,94,111
188,NORMAL,SKIPLOOM,GRASS,FLYING,91,120,146
189,NORMAL,JUMPLUFF,GRASS,FLYING,118,183,181
190,NORMAL,AIPOM,NORMAL,,136,112,146
191,NORMAL,SUNKERN,GRASS,,55,55,102
192,NORMAL,SUNFLORA,GRASS,,185,135,181
193,NORMAL,YANMA,BUG,FLYING,154,94,163
194,NORMAL,WOOPER,WATER,GROUND,75,66,146
194,PALDEA,WOOPER,POISON,GROUND,75,66,146
195,NORMAL,QUAGSIRE,WATER,GROUND,152,143,216
196,NORMAL,ESPEON,PSYCHIC,,261,175,163
197,NORMAL,UMBREON,DARK,,126,240,216
198,NORMAL,MURKROW,DARK,FLYING,175,87,155
199,GALARIAN,SLOWKING,POISON,PSYCHIC,190,180,216
199,NORMAL,SLOWKING,WATER,PSYCHIC,177,180,216
200,NORMAL,MISDREAVUS,GHOST,,167,154,155
201,A,UNOWN,PSYCHIC,,136,91,134
201,B,UNOWN,PSYCHIC,,136,91,134
201,C,UNOWN,PSYCHIC,,136,91,134
201,D,UNOWN,PSYCHIC,,136,91,134
201,E,UNOWN,PSYCHIC,,136,91,134
201,EXCLAMATION_POINT,UNOWN,PSYCHIC,,136,91,134
201,F,UNOWN,PSYCHIC,,136,91,134
201,G,UNOWN,PSYCHIC,,136,91,134
201,H,UNOWN,PSYCHIC,,136,91,134
201,I,UNOWN,PSYCHIC,,136,91,134
201,J,UNOWN,PSYCHIC,,136,91,134
201,K,UNOWN,PSYCHIC,,136,91,134
201,L,UNOWN,PSYCHIC,,136,91,134
201,M,UNOWN,PSYCHIC,,136,91,134
201,N,UNOWN,PSYCHIC,,136,91,134
201,NORMAL,UNOWN,PSYCHIC,,136,91,134
201,O,UNOWN,PSYCHIC,,136,91,134
201,P,UNOWN,PSYCHIC,,136,91,134
201,Q,UNOWN,PSYCHIC,,136,91,134
201,QUESTION_MARK,UNOWN,PSYCHIC,,136,91,134
201,R,UNOWN,PSYCHIC,,136,91,134
201,S,UNOWN,PSYCHIC,,136,91,134
201,T,UNOWN,PSYCHIC,,136,91,134
201,U,UNOWN,PSYCHIC,,136,91,134
201,V,UNOWN,PSYCHIC,,136,91,134
201,W,UNOWN,PSYCHIC,,136,91,134
201,X,UNOWN,PSYCHIC,,136,91,134
201,Y,UNOWN,PSYCHIC,,136,91,134
201,Z,UNOWN,PSYCHIC,,136,91,134
202,NORMAL,WOBBUFFET,PSYCHIC,,60,106,382
203,NORMAL,GIRAFARIG,NORMAL,PSYCHIC,182,133,172
204,NORMAL,PINECO,BUG,,108,122,137
205,NORMAL,FORRETRESS,BUG,STEEL,161,205,181
206,NORMAL,DUNSPARCE,NORMAL,,131,128,225
207,NORMAL,GLIGAR,GROUND,FLYING,143,184,163
208,MEGA,STEELIX,STEEL,GROUND,212,327,181
208,NORMAL,STEELIX,STEEL,GROUND,148,272,181
209,NORMAL,SNUBBULL,FAIRY,,137,85,155
210,NORMAL,GRANBULL,FAIRY,,212,131,207
211,HISUIAN,QWILFISH,DARK,POISON,184,151,163
211,NORMAL,QWILFISH,WATER,POISON,184,138,163
212,MEGA,SCIZOR,BUG,STEEL,279,250,172
212,NORMAL,SCIZOR,BUG,STEEL,236,181,172
213,NORMAL,SHUCKLE,BUG,ROCK,17,396,85
214,MEGA,HERACROSS,BUG,FIGHTING,334,223,190
214,NORMAL,HERACROSS,BUG,FIGHTING,234,179,190
215,HISUIAN,SNEASEL,FIGHTING,POISON,189,146,146
215,NORMAL,SNEASEL,DARK,ICE,189,146,146
216,NORMAL,TEDDIURSA,NORMAL,,142,93,155
217,NORMAL,URSARING,NORMAL,,236,144,207
218,NORMAL,SLUGMA,FIRE,,118,71,120
219,NORMAL,MAGCARGO,FIRE,ROCK,139,191,137
220,NORMAL,SWINUB,ICE,GROUND,90,69,137
221,NORMAL,PILOSWINE,ICE,GROUND,181,138,225
222,GALARIAN,CORSOLA,GHOST,,116,182,155
222,NORMAL,CORSOLA,WATER,ROCK,118,156,146
223,NORMAL,REMORAID,WATER,,127,69,111
224,NORMAL,OCTILLERY,WATER,,197,141,181
225,NORMAL,DELIBIRD,ICE,FLYING,128,90,128
226,NORMAL,MANTINE,WATER,FLYING,148,226,163
227,NORMAL,SKARMORY,STEEL,FLYING,148,226,163
228,NORMAL,HOUNDOUR,DARK,FIRE,152,83,128
229,MEGA,HOUNDOOM,DARK,FIRE,289,194,181
229,NORMAL,HOUNDOOM,DARK,FIRE,224,144,181
230,NORMAL,KINGDRA,WATER,DRAGON,194,194,181
231,NORMAL,PHANPY,GROUND,,107,98,207
232,NORMAL,DONPHAN,GROUND,,214,185,207
233,NORMAL,PORYGON2,NORMAL,,198,180,198
234,NORMAL,STANTLER,NORMAL,,192,131,177
235,NORMAL,SMEARGLE,NORMAL,,40,83,146
236,NORMAL,TYROGUE,FIGHTING,,64,64,111
237,NORMAL,HITMONTOP,FIGHTING,,173,207,137
238,NORMAL,SMOOCHUM,ICE,PSYCHIC,153,91,128
239,NORMAL,ELEKID,ELECTRIC,,135,101,128
240,NORMAL,MAGBY,FIRE,,151,99,128
241,NORMAL,MILTANK,NORMAL,,157,193,216
242,NORMAL,BLISSEY,NORMAL,,129,169,496
243,NORMAL,RAIKOU,ELECTRIC,,241,195,207
243,S,RAIKOU,ELECTRIC,,241,195,207
244,NORMAL,ENTEI,FIRE,,235,171,251
244,S,ENTEI,FIRE,,235,171,251
245,NORMAL,SUICUNE,WATER,,180,235,225
245,S,SUICUNE,WATER,,180,235,225
246,NORMAL,LARVITAR,ROCK,GROUND,115,93,137
247,NORMAL,PUPITAR,ROCK,GROUND,155,133,172
248,MEGA,TYRANITAR,ROCK,DARK,309,276,225
248,NORMAL,TYRANITAR,ROCK,DARK,251,207,225
249,NORMAL,LUGIA,PSYCHIC,FLYING,193,310,235
249,S,LUGIA,PSYCHIC,FLYING,193,310,235
250,OH,HO,FIRE,FLYING,239,244,214
250,OH_NORMAL,HO,FIRE,FLYING,239,244,214
250,OH_S,HO,FIRE,FLYING,239,244,214
251,NORMAL,CELEBI,PSYCHIC,GRASS,210,210,225
252,NORMAL,TREECKO,GRASS,,124,94,120
253,NORMAL,GROVYLE,GRASS,,172,120,137
254,MEGA,SCEPTILE,GRASS,DRAGON,320,186,172
254,NORMAL,SCEPTILE,GRASS,,223,169,172
255,NORMAL,TORCHIC,FIRE,,130,87,128
256,NORMAL,COMBUSKEN,FIRE,FIGHTING,163,115,155
257,MEGA,BLAZIKEN,FIRE,FIGHTING,329,168,190
257,NORMAL,BLAZIKEN,FIRE,FIGHTING,240,141,190
258,NORMAL,MUDKIP,WATER,,126,93,137
259,NORMAL,MARSHTOMP,WATER,GROUND,156,133,172
260,MEGA,SWAMPERT,WATER,GROUND,283,218,225
260,NORMAL,SWAMPERT,WATER,GROUND,208,175,225
261,NORMAL,POOCHYENA,DARK,,96,61,111
262,NORMAL,MIGHTYENA,DARK,,171,132,172
263,GALARIAN,ZIGZAGOON,DARK,NORMAL,58,80,116
263,NORMAL,ZIGZAGOON,NORMAL,,58,80,116
264,GALARIAN,LINOONE,DARK,NORMAL,142,128,186
264,NORMAL,LINOONE,NORMAL,,142,128,186
265,NORMAL,WURMPLE,BUG,,75,59,128
266,NORMAL,SILCOON,BUG,,60,77,137
267,NORMAL,BEAUTIFLY,BUG,FLYING,189,98,155
268,NORMAL,CASCOON,BUG,,60,77,137
269,NORMAL,DUSTOX,BUG,POISON,98,162,155
270,NORMAL,LOTAD,WATER,GRASS,71,77,120
271,NORMAL,LOMBRE,WATER,GRASS,112,119,155
272,NORMAL,LUDICOLO,WATER,GRASS,173,176,190
273,NORMAL,SEEDOT,GRASS,,71,77,120
274,NORMAL,NUZLEAF,GRASS,DARK,134,78,172
275,NORMAL,SHIFTRY,GRASS,DARK,200,121,207
276,NORMAL,TAILLOW,NORMAL,FLYING,106,61,120
277,NORMAL,SWELLOW,NORMAL,FLYING,185,124,155
278,NORMAL,WINGULL,WATER,FLYING,106,61,120
279,NORMAL,PELIPPER,WATER,FLYING,175,174,155
280,NORMAL,RALTS,PSYCHIC,FAIRY,79,59,99
281,NORMAL,KIRLIA,PSYCHIC,FAIRY,117,90,116
282,MEGA,GARDEVOIR,PSYCHIC,FAIRY,326,229,169
282,NORMAL,GARDEVOIR,PSYCHIC,FAIRY,237,195,169
283,NORMAL,SURSKIT,BUG,WATER,93,87,120
284,NORMAL,MASQUERAIN,BUG,FLYING,192,150,172
285,NORMAL,SHROOMISH,GRASS,,74,110,155
286,NORMAL,BRELOOM,GRASS,FIGHTING,241,144,155
287,NORMAL,SLAKOTH,NORMAL,,104,92,155
288,NORMAL,VIGOROTH,NORMAL,,159,145,190
289,NORMAL,SLAKING,NORMAL,,290,166,284
290,NORMAL,NINCADA,BUG,GROUND,80,126,104
291,NORMAL,NINJASK,BUG,FLYING,199,112,156
292,NORMAL,SHEDINJA,BUG,GHOST,153,73,1
293,NORMAL,WHISMUR,NORMAL,,92,42,162
294,NORMAL,LOUDRED,NORMAL,,134,81,197
295,NORMAL,EXPLOUD,NORMAL,,179,137,232
296,NORMAL,MAKUHITA,FIGHTING,,99,54,176
297,NORMAL,HARIYAMA,FIGHTING,,209,114,302
298,NORMAL,AZURILL,NORMAL,FAIRY,36,71,137
299,NORMAL,NOSEPASS,ROCK,,82,215,102
300,NORMAL,SKITTY,NORMAL,,84,79,137
301,NORMAL,DELCATTY,NORMAL,,132,127,172
302,MEGA,SABLEYE,DARK,GHOST,151,216,137
302,NORMAL,SABLEYE,DARK,GHOST,141,136,137
303,MEGA,MAWILE,STEEL,FAIRY,188,217,137
303,NORMAL,MAWILE,STEEL,FAIRY,155,141,137
304,NORMAL,ARON,STEEL,ROCK,121,141,137
305,NORMAL,LAIRON,STEEL,ROCK,158,198,155
306,MEGA,AGGRON,STEEL,ROCK,247,331,172
306,NORMAL,AGGRON,STEEL,ROCK,198,257,172
307,NORMAL,MEDITITE,FIGHTING,PSYCHIC,78,107,102
308,MEGA,MEDICHAM,FIGHTING,PSYCHIC,205,179,155
308,NORMAL,MEDICHAM,FIGHTING,PSYCHIC,121,152,155
309,NORMAL,ELECTRIKE,ELECTRIC,,123,78,120
310,MEGA,MANECTRIC,ELECTRIC,,286,179,172
310,NORMAL,MANECTRIC,ELECTRIC,,215,127,172
311,NORMAL,PLUSLE,ELECTRIC,,167,129,155
312,NORMAL,MINUN,ELECTRIC,,147,150,155
313,NORMAL,VOLBEAT,BUG,,143,166,163
314,NORMAL,ILLUMISE,BUG,,143,166,163
315,NORMAL,ROSELIA,GRASS,POISON,186,131,137
316,NORMAL,GULPIN,POISON,,80,99,172
317,NORMAL,SWALOT,POISON,,140,159,225
318,NORMAL,CARVANHA,WATER,DARK,171,39,128
319,MEGA,SHARPEDO,WATER,DARK,289,144,172
319,NORMAL,SHARPEDO,WATER,DARK,243,83,172
320,NORMAL,WAILMER,WATER,,136,68,277
321,NORMAL,WAILORD,WATER,,175,87,347
322,NORMAL,NUMEL,FIRE,GROUND,119,79,155
323,MEGA,CAMERUPT,FIRE,GROUND,253,183,172
323,NORMAL,CAMERUPT,FIRE,GROUND,194,136,172
324,NORMAL,TORKOAL,FIRE,,151,203,172
325,NORMAL,SPOINK,PSYCHIC,,125,122,155
326,NORMAL,GRUMPIG,PSYCHIC,,171,188,190
327,00,SPINDA,NORMAL,,116,116,155
327,01,SPINDA,NORMAL,,116,116,155
327,02,SPINDA,NORMAL,,116,116,155
327,03,SPINDA,NORMAL,,116,116,155
327,04,SPINDA,NORMAL,,116,116,155
327,05,SPINDA,NORMAL,,116,116,155
327,06,SPINDA,NORMAL,,116,116,155
327,07,SPINDA,NORMAL,,116,116,155
327,08,SPINDA,NORMAL,,116,116,155
327,09,SPINDA,NORMAL,,116,116,155
327,10,SPINDA,NORMAL,,116,116,155
327,11,SPINDA,NORMAL,,116,116,155
327,12,SPINDA,NORMAL,,116,116,155
327,13,SPINDA,NORMAL,,116,116,155
327,14,SPINDA,NORMAL,,116,116,155
327,15,SPINDA,NORMAL,,116,116,155
327,16,SPINDA,NORMAL,,116,116,155
327,17,SPINDA,NORMAL,,116,116,155
327,18,SPINDA,NORMAL,,116,116,155
327,19,SPINDA,NORMAL,,116,116,155
327,NORMAL,SPINDA,NORMAL,,116,116,155
328,NORMAL,TRAPINCH,GROUND,,162,78,128
329,NORMAL,VIBRAVA,GROUND,DRAGON,134,99,137
330,NORMAL,FLYGON,GROUND,DRAGON,205,168,190
331,NORMAL,CACNEA,GRASS,,156,74,137
332,NORMAL,CACTURNE,GRASS,DARK,221,115,172
333,NORMAL,SWABLU,NORMAL,FLYING,76,132,128
334,MEGA,ALTARIA,DRAGON,FAIRY,222,218,181
334,NORMAL,ALTARIA,DRAGON,FLYING,141,201,181
335,NORMAL,ZANGOOSE,NORMAL,,222,124,177
336,NORMAL,SEVIPER,POISON,,196,118,177
337,NORMAL,LUNATONE,ROCK,PSYCHIC,178,153,207
338,NORMAL,SOLROCK,ROCK,PSYCHIC,178,153,207
339,NORMAL,BARBOACH,WATER,GROUND,93,82,137
340,NORMAL,WHISCASH,WATER,GROUND,151,141,242
341,NORMAL,CORPHISH,WATER,,141,99,125
342,NORMAL,CRAWDAUNT,WATER,DARK,224,142,160
343,NORMAL,BALTOY,GROUND,PSYCHIC,77,124,120
